00:00.000 - 13:31.140
13:31.140 - 00:15:18.840
00:17:09.760 - 00:21:12.220
00:21:12.220 - 00:23:57.760
00:24:03.760 - 00:27:49.840
00:28:47.940 - 00:30:12.040
00:30:13.380 - 00:42:25.440
00:43:08.220 - 00:46:00.820
00:46:00.820 - 00:49:08.260
00:49:14.640 - 00:57:57.300
00:58:00.880 - 01:00:25.160
01:00:27.540 - 01:16:40.020
01:16:40.020 - 01:18:29.480
01:18:31.160 - 01:21:48.380
01:23:09.640 - 01:45:33.400
01:47:33.460 - 01:53:47.920
01:53:47.920 - 01:56:53.020
01:56:55.240 - 02:00:57.200
